Scenario,Month,Demand_Consumption,Battery_Charge,Grid_Export_to_Grid,Grid_Export_Sink,Grid_Import,Grid_Import_Source,PV_Direct_Consumption,PV_to_Grid_Feedin,Total_PV_Production,Demand_Sink,Battery_Discharge
20kWh,jul,899.40,452.88,2087.81,2087.81,57.63,57.63,879.34,2087.81,2967.15,899.40,415.31
20kWh,aug,1095.56,482.65,1841.84,1841.84,163.50,163.50,972.04,1841.84,2813.88,1095.56,442.67
20kWh,sep,1557.28,530.32,1527.38,1527.38,590.11,590.11,1010.93,1527.38,2538.31,1557.28,486.56
20kWh,oct,1641.51,398.73,172.47,172.47,937.57,937.57,737.16,172.47,909.63,1641.51,365.52
20kWh,nov,1940.88,263.00,24.97,24.97,1469.48,1469.48,493.55,24.97,518.52,1940.88,240.85
20kWh,dec,2244.25,37.57,0.00,0.00,2033.73,2033.73,214.35,0.00,214.35,2244.25,33.73
26kWh,jan,2111.07,156.63,2.64,2.64,1734.37,1734.37,390.53,2.64,393.17,2111.07,142.81
26kWh,feb,1986.63,348.50,187.58,187.58,1289.43,1289.43,726.32,187.58,913.90,1986.63,319.38
26kWh,mar,1849.14,630.59,406.53,406.53,759.62,759.62,1141.85,406.53,1548.38,1849.14,578.26
26kWh,apr,1507.85,666.95,1546.40,1546.40,352.39,352.39,1210.76,1546.40,2757.16,1507.85,611.65
26kWh,may,1462.03,602.84,2259.68,2259.68,244.70,244.70,1267.28,2259.68,3526.96,1462.03,552.89
26kWh,jun,1085.88,467.44,3145.94,3145.94,83.79,83.79,1040.93,3145.94,4186.87,1085.88,428.60
26kWh,jul,899.40,475.28,2065.41,2065.41,37.34,37.34,901.74,2065.41,2967.15,899.40,435.60
26kWh,aug,1095.56,531.98,1792.51,1792.51,118.55,118.55,1021.37,1792.51,2813.88,1095.56,487.61
26kWh,sep,1557.28,612.70,1445.00,1445.00,514.84,514.84,1093.31,1445.00,2538.31,1557.28,561.83
26kWh,oct,1641.51,457.78,113.42,113.42,883.81,883.81,796.21,113.42,909.63,1641.51,419.28
26kWh,nov,1940.88,277.04,10.93,10.93,1456.90,1456.90,507.59,10.93,518.52,1940.88,253.43
26kWh,dec,2244.25,37.57,0.00,0.00,2034.02,2034.02,214.35,0.00,214.35,2244.25,33.44
50kWh,jan,2111.07,159.27,0.00,0.00,1733.22,1733.22,393.17,0.00,393.17,2111.07,143.95
50kWh,feb,1986.63,488.15,47.92,47.92,1162.59,1162.59,865.98,47.92,913.90,1986.63,446.21
50kWh,mar,1849.14,836.30,200.81,200.81,572.94,572.94,1347.56,200.81,1548.38,1849.14,764.94
50kWh,apr,1507.85,917.33,1296.02,1296.02,124.62,124.62,1461.14,1296.02,2757.16,1507.85,839.42
50kWh,may,1462.03,806.12,2056.39,2056.39,59.38,59.38,1470.57,2056.39,3526.96,1462.03,738.21
50kWh,jun,1085.88,543.86,3069.53,3069.53,14.72,14.72,1117.35,3069.53,4186.87,1085.88,497.67
50kWh,jul,899.40,517.25,2023.44,2023.44,0.00,0.00,943.71,2023.44,2967.15,899.40,472.94
50kWh,aug,1095.56,606.81,1717.68,1717.68,51.44,51.44,1096.20,1717.68,2813.88,1095.56,554.73
50kWh,sep,1557.28,775.69,1282.01,1282.01,366.95,366.95,1256.30,1282.01,2538.31,1557.28,709.71
50kWh,oct,1641.51,529.97,41.23,41.23,819.16,819.16,868.40,41.23,909.63,1641.51,483.93
50kWh,nov,1940.88,287.97,0.00,0.00,1448.23,1448.23,518.52,0.00,518.52,1940.88,262.10
50kWh,dec,2244.25,39.44,0.00,0.00,2035.48,2035.48,214.35,0.00,214.35,2244.25,33.86
