Scenario,Month,Demand_Consumption,Battery_Charge,Grid_Export_to_Grid,Grid_Export_Sink,Grid_Import,Grid_Import_Source,PV_Direct_Consumption,PV_to_Grid_Feedin,Total_PV_Production,Demand_Sink,Battery_Discharge
12kWh,mar,1849.14,349.96,687.16,687.16,1016.7,1016.7,861.22,687.16,1548.38,1849.14,321.18
12kWh,apr,1507.85,338.62,1874.73,1874.73,653.15,653.15,882.43,1874.73,2757.16,1507.85,310.89
12kWh,may,1462.03,349.18,2562.78,2562.78,526.49,526.49,964.18,2562.78,3526.96,1462.03,320.54
12kWh,jun,1040.86,307.48,3406.3,3406.3,285.59,285.59,780.57,3406.3,4186.87,1040.86,282.17
12kWh,jul,944.26,349.56,2233.25,2233.25,239.16,239.16,733.9,2233.25,2967.15,944.26,320.75
12kWh,aug,1095.56,361.18,1972.8,1972.8,284.25,284.25,841.08,1972.8,2813.88,1095.56,331.41
12kWh,sep,1557.28,349.03,1742.17,1742.17,789.76,789.76,796.14,1742.17,2538.31,1557.28,320.4
12kWh,oct,1641.51,281.23,289.98,289.98,1045.27,1045.27,619.65,289.98,909.63,1641.51,257.82
12kWh,nov,1940.88,209.65,78.32,78.32,1518.16,1518.16,440.2,78.32,518.52,1940.88,192.17
12kWh,dec,2244.25,37.57,0,0,2033.44,2033.44,214.35,0,214.35,2244.25,34.02
15kWh,jan,2111.07,142.09,17.18,17.18,1747.22,1747.22,375.99,17.18,393.17,2111.07,129.96
15kWh,feb,1986.63,239,297.07,297.07,1389.6,1389.6,616.83,297.07,913.9,1986.63,219.21
15kWh,mar,1849.14,423.27,613.84,613.84,949.49,949.49,934.53,613.84,1548.38,1849.14,388.39
15kWh,apr,1507.85,414.55,1798.8,1798.8,583.57,583.57,958.36,1798.8,2757.16,1507.85,380.46
15kWh,may,1462.03,425.19,2486.76,2486.76,456.82,456.82,1040.2,2486.76,3526.96,1462.03,390.21
15kWh,jun,1040.86,351.86,3361.92,3361.92,245.07,245.07,824.96,3361.92,4186.87,1040.86,322.69
15kWh,jul,944.26,403.22,2179.59,2179.59,190.23,190.23,787.56,2179.59,2967.15,944.26,369.69
15kWh,aug,1095.56,419.37,1914.61,1914.61,231.07,231.07,899.27,1914.61,2813.88,1095.56,384.59
15kWh,sep,1557.28,433.59,1657.61,1657.61,712.23,712.23,880.71,1657.61,2538.31,1557.28,397.94
15kWh,oct,1641.51,333.02,238.18,238.18,997.72,997.72,671.45,238.18,909.63,1641.51,305.37
15kWh,nov,1940.88,235.11,52.86,52.86,1494.99,1494.99,465.66,52.86,518.52,1940.88,215.34
