Scenario,Month,Demand_Consumption,Battery_Charge,Grid_Export_to_Grid,Grid_Export_Sink,Grid_Import,Grid_Import_Source,PV_Direct_Consumption,PV_to_Grid_Feedin,Total_PV_Production,Demand_Sink,Battery_Discharge
5kWh,mar,1849.14,231.97,931.96,931.96,1251.56,1251.56,616.42,931.96,1548.38,1849.14,213.12
5kWh,apr,1507.85,171.75,2159.99,2159.99,924.69,924.69,597.17,2159.99,2757.16,1507.85,157.74
5kWh,may,1462.03,168.26,2943.53,2943.53,892.32,892.32,583.43,2943.53,3526.96,1462.03,154.55
5kWh,jun,1040.86,144.17,3659.94,3659.94,525.67,525.67,526.94,3659.94,4186.87,1040.86,132.43
5kWh,jul,944.26,170.29,2551.07,2551.07,542.04,542.04,416.08,2551.07,2967.15,944.26,156.43
5kWh,aug,1095.56,167.99,2248.64,2248.64,544.03,544.03,565.24,2248.64,2813.88,1095.56,154.28
5kWh,sep,1557.28,171.72,2037.87,2037.87,1070.81,1070.81,500.44,2037.87,2538.31,1557.28,157.74
5kWh,oct,1641.51,222.47,575.72,575.72,1325.78,1325.78,333.91,575.72,909.63,1641.51,204.29
5kWh,nov,1940.88,229.39,197.05,197.05,1638.18,1638.18,321.47,197.05,518.52,1940.88,210.62
5kWh,dec,2244.25,214.52,46.49,46.49,2094.09,2094.09,167.87,46.49,214.35,2244.25,196.80
